Country;Bun_Con;Bun_Res_Oil_Con;Cru_Exp;Cru_Imp;Cru_Pro;Cru_Res;Die_Con;Die_Pro;Jet_Con;Jet_Pro;Ker_Con;Ker_Pro;LPG_Con;LPG_Pro;Gas_Con;Gas_Pro;NG_Lq_Pro;Otr_Lq_Pro;Otr_Ref_Con;Otr_Ref_Pro;CO2_Pet_MMT;Liq_Con;Liq_Pro;Ref_Con;Ref_Pro;Gan_Ref;Res_Oil_Con;Res_Oil_Pro;Bio_Cap;Bio_Gen;Per_Dis;Ele_Exp;Ele_Imp;Cap_Tot;Con_Ele;Gen_Ele;Net_Imp_Ele;Fos_Cap;Fos_Gen;Geo_Cap;Geo_Gen;Hid_Bom_Cap;Hid_Bom_Gen;Hid_Cap;Hid_Gen;Ren_No_Hid_Cap;Ren_No_Hid_Gen;Nuc_Cap;Nuc_Gen;Ren_Cap;Ren_Gen;Sol_Cap;Sol_Gen;Mar_Cap;Mar_Gen;Eol_Cap;Eol_Gen
Poland;1.9;1.3;8.5;479;19;0.2;244;217;13;24;0;0;75;18;83;83;0;28;74;110;63;504;54;504;518;6.1;15;65;0.8;7.1;10;11;14;36;134;142;2.2;29;126;0;0;1.8;-0.3;0.6;2.2;4.7;15;0;0;5.3;17;0;0;0;0;3.8;7.6
Portugal;8.4;7.1;0;213;0;0;96;105;23;20;0;0;32;5.8;25;43;0;7.6;38;47;31;233;11;233;261;3.4;19;41;0.6;3.3;5.2;6.3;7.2;19;47;51;0.9;7.5;20;0;0.2;1.3;-0.2;4.4;15;5.9;16;0;0;10;32;0.4;0.6;0;0;4.9;12
Qatar;27;0;613;0;1424;25;45;45;27;63;0;0;30;12;39;46;356;152;95;111;33;240;1940;240;285;7.7;3.6;8.1;0;0;2.3;0;0;8.8;34;36;0;8.8;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Romania;5.5;0;1;135;83;0.6;92;106;3.9;8.1;0.2;0.2;16;18;33;70;6.7;2.8;34;28;25;185;102;185;235;9.6;6;5.9;0;0.5;7.1;9.9;2.8;24;48;62;-7.1;11;25;0;0;0.4;-0.1;6.3;19;4.6;8.3;1.3;11;11;27;1.3;1.6;0;0;3.2;6.2
Russia;413;118;4500;15;10107;80;721;1575;242;295;0;0;490;588;853;910;720;9.3;1058;1229;420;3607;10853;3607;6174;17;243;1577;1.4;3.1;107;15;6.6;259;891;1006;-8;182;660;0;0.5;1.2;-1;50;174;1.5;3.7;25;169;51;177;0;0.2;0;0;0;0
SaudiArabia;109;59;7120;0;9905;266;753;753;66;80;8;131;511;44;522;441;1338;80;1239;289;398;3537;11334;3537;2221;10;438;481;0;0;21;0;0;66;295;316;0;66;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;6.9;0;0.4;17;0;0;18;9.6;5.7;0.3;0;0;3.4;0;1.1;0.7;0;0;4.1;2.7;6.6;43;0;43;17;0;11;3.3;0;0;0.6;0;0.3;0.9;3.4;3.7;0.3;0.8;3.3;0;0;0;0;0;0.3;0;0;0;0;0.1;0.4;0;0;0;0;0;0
Serbia;1.8;0;0;29;17;0;32;24;1.4;2.4;0;0;9.5;5.1;9.2;11;1;0;14;19;9.1;70;19;70;68;1.6;4.4;7.5;0;0;5.2;5.4;7;7.3;28;32;1.6;4.3;21;0;0;0.6;-0.3;2.4;11;0;0;0;0;2.4;11;0;0;0;0;0;0
Singapore;924;750;12;954;0;0;59;217;147;208;0;3.6;5;11;20;249;0;15;216;246;187;1236;36;1236;994;21;788;59;0.2;1.4;1;0;0;13;46;47;0;13;45;0;0;0;0;0;0;0.2;1.5;0;0;0.2;1.5;0;0;0;0;0;0
Slovakia;0;0;0.2;107;0.2;0;32;57;0.7;1.7;0.3;0;3.3;4.8;13;31;0;7.7;21;23;9.4;73;11;73;126;2.7;2.9;8.8;0.3;1.4;0.7;12;13;8;25;25;1.1;2.8;4.6;0;0;0.9;0;1.6;3.8;0.8;2.2;1.8;14;2.4;5.9;0.5;0.6;0;0.1;0;0
Slovenia;1;1;0;0;0;0;33;0;0.5;0;0;0;2.4;0;10;0;0;0;3.2;0;7.3;50;0;50;0;0;1.2;0;0;0.3;0.8;10;7.3;3.5;13;16;-2.7;1.2;3.7;0;0;0.2;0;1.1;6;0.3;0.5;0.7;6.1;1.4;6.5;0.2;0.3;0;0;0;0
SouthAfrica;69;20;3.3;416;3;0;235;157;40;37;9.4;9.4;8.7;8.9;188;185;5;140;93;39;87;611;161;611;486;13;38;49;0.2;0.4;21;14;11;46;212;235;-2.7;40;218;0;0;1.4;-1;0.7;0.9;2;2.4;1.9;15;2.6;3.3;1.2;1;0;0;0.6;1.1
SouthKorea;152;136;0;2525;0;0;432;868;119;370;46;49;226;67;201;397;0;27;1105;871;229;2348;81;2348;2772;54;219;148;0.7;2.2;18;0;0;100;506;524;0;68;366;0;0;4.7;-1.6;1.8;2.7;4.2;7.3;21;149;6;10;2.5;2.5;0.4;1.4;0.6;1.1
Spain;145;119;0;1192;6.2;0.2;579;561;114;4.2;0;188;53;51;107;169;0;32;186;203;174;1200;64;1200;1255;26;161;79;1.2;6.1;26;16;12;106;234;264;-3.4;49;102;0;0;5.1;-1.4;14;39;31;70;7.1;55;45;109;7;13;0;0;23;51
SriLanka;18;6.2;0;36;0;0;41;10;10;3.6;2.6;1.4;7.4;0.9;20;3.6;0;0;4.3;3.8;15;106;-0.3;106;36;-0.3;21;12;0;0;1.4;0;0;4;11;12;0;2.2;7.1;0;0;0;0;1.6;4.5;0.2;0.3;0;0;1.8;4.8;0;0;0;0;0.1;0.3
Sudan;5.3;0;55;0;114;5;44;34;5.3;2.6;0;0;15;10;19;25;0;0.7;13;8.4;15;107;116;107;90;1.6;10;9.6;0.2;0.1;3.5;0;0;3.5;7.8;11;0;1.7;2.3;0;0;0;0;1.6;8.8;0.2;0.1;0;0;1.8;9;0;0;0;0;0;0
Suriname;1;0;0;0;15;0;4.7;0.6;1;0;0;0;0.5;0;3.5;0;0;0;0.1;0.1;2.4;15;15;15;3.9;-0.2;5.4;3.1;0;0;0.2;0;0.4;0.5;2.2;1.9;0.4;0.3;1.4;0;0;0;0;0.2;0.6;0;0;0;0;0.2;0.6;0;0;0;0;0;0
